DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-210186;0001;9/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01365-15;MSCUAU838718;ALTAMIRA;México;México;25.5;TONELADAS;25500;KILOGRAMO;17;BUL;22893;897.76;24480;960;1536;25500;25.5;26090;MEXICHEM RESINAS VINILICAS SA DE CV;PRIMEX;RESINA DE PVC , PRIMEX, P-180 CODIGO: 967656 RESINA PRIMEX P-180 USO INDUSTRIAL RESINA DE PVC;RESINA DE PVC , PRIMEX, P-180 CODIGO: 967656 RESINA PRIMEX P-180 USO INDUSTRIAL RESINA DE PVC
118-210457;0001;9/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;31735-14;MAEUR85644191;JEDDAH;Arábia Saudita;Estados Unidos;24.75;TONELADAS;24750;KILOGRAMO;990;BUL;29835;1205.45;32677.93;1320.32;2470;24750;24.75;25270;SABIC AMERICAS INC 2500 CITY WESTBOULEVARD SUITE 6;SABIC;POLIETILENO DE BAJA DENSIDAD, SABIC, R50035E POLIETILENO DE BAJA DENSIDAD SABIC R50035E USO INDUSTRIAL POLIETILENO;POLIETILENO DE BAJA DENSIDAD, SABIC, R50035E POLIETILENO DE BAJA DENSIDAD SABIC R50035E USO INDUSTRIAL POLIETILENO
118-211877;0001;10/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUUH122634;HOUSTON;Estados Unidos;Panamá;303875;KILOGRAMO;303875;KILOGRAMO;12155;BUL;232183.25;0.76;255118.54;0.84;20033;303875;303.875;312990;MTS LOGISTICS INC;OXY;RESINA DE PVC, OXY, 225P RESINA DE PVC OXY 225P 12,155 BOLSAS DE 25KG C/U USO INDUSTRIAL RESINA DE PVC;RESINA DE PVC, OXY, 225P RESINA DE PVC OXY 225P 12,155 BOLSAS DE 25KG C/U USO INDUSTRIAL RESINA DE PVC
118-215099;0001;12/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01402-15;SUDU252973647RHC;CARTAGENA;México;Panamá;51000;KILOGRAMO;51000;KILOGRAMO;34;BUL;45418;0.89;47940;0.94;2420;51000;51;51840;MEXICHEM RESINAS VINILICAS S.A. DE C.V;PRIMEX;RESINA PVC FLEXIBLE, PRIMEX, G34 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC;RESINA PVC FLEXIBLE, PRIMEX, G34 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC
118-215098;0001;12/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;01456-15;MAEUR86115669;JUBAIL;Arábia Saudita;Panamá;24750;KILOGRAMO;24750;KILOGRAMO;990;BUL;33781.25;1.36;36613.51;1.48;2410;24750;24.75;25330;SABIC AMERICA S INC2500 CITY WEST BOULEVARDSUITE 6;SABIC;POLIETILENO BAJA DENSIDAD, SABIC, 118WJ POLIETILENO BAJA DENSIDAD LLDPE SABIC 118WJ USO INDUSTRIAL POLIETILENO;POLIETILENO BAJA DENSIDAD, SABIC, 118WJ POLIETILENO BAJA DENSIDAD LLDPE SABIC 118WJ USO INDUSTRIAL POLIETILENO
118-217616;0001;15/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01399-15;NAM2092134;KINGSTON;Estados Unidos;Panamá;23375;UNIDAD;23375;KILOGRAMO;935;BUL;33402.5;1.43;35480.03;1.52;1660;23375;23.375;23510;UNITCARGO CONTAINER LINE INC. C/O ITOCHU CHEMICALS;INEOS;POLIETILENO ALTA DENSIDAD, INEOS, K44-15-122 POLIETILENO ALTA DENSIDAD PE80 INEOS K44-15-122 INDUSTRIAL POLIETILENO;POLIETILENO ALTA DENSIDAD, INEOS, K44-15-122 POLIETILENO ALTA DENSIDAD PE80 INEOS K44-15-122 INDUSTRIAL POLIETILENO
118-219406;0001;16/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;01417-15;SMLU4066189A;HOUSTON;Estados Unidos;Panamá;18000;UNIDAD;18000;KILOGRAMO;720;BUL;28235;1.57;29872.93;1.66;1285;18000;18;18020;MUEHLSTEIN INTERNATIONAL;MUELHLSTEIN;POLIETILENO MEDIANA DENSIDAD, MUELHLSTEIN, CERTENE LLHR-440U POLIETILENO DE MEDIANA DENSIDAD CERTENE LLHR-440U NATURAL USO INDUSTRIAL POLIETILENO;POLIETILENO MEDIANA DENSIDAD, MUELHLSTEIN, CERTENE LLHR-440U POLIETILENO DE MEDIANA DENSIDAD CERTENE LLHR-440U NATURAL USO INDUSTRIAL POLIETILENO
118-220975;0001;17/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;01504-15;MAEUR86165581;JEDDAH;Arábia Saudita;Panamá;49500;KILOGRAMO;49500;KILOGRAMO;1980;BUL;69750;1.41;75921.87;1.53;5300;49500;49.5;50280;SABIC AMERICA S INC2500 CITY WEST BOULEVARDSUITE 6;SABIC;POLIETILENO ALTA DENSIDAD, SABIC, P6006NAT POLIETILENO ALTA DENSIDAD PE100 SABIC P6006 NAT INDUSTRIAL POLIETILENO;POLIETILENO ALTA DENSIDAD, SABIC, P6006NAT POLIETILENO ALTA DENSIDAD PE100 SABIC P6006 NAT INDUSTRIAL POLIETILENO
118-224375;0001;19/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01465-15;MSCUBC273683;CARTAGENA;Colômbia;Panamá;312000;KILOGRAMO;312000;KILOGRAMO;12480;BUL;275210.24;0.88;283920;0.91;8652;312000;312;317190;MEXICHEM RESINAS COLOMBIA S.A.S;PETCO;RESINA DE PVC 440, PETCO, PVC440 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC;RESINA DE PVC 440, PETCO, PVC440 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC
118-224442;0001;19/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01512-15;NAM2116423;KINGSTON;Estados Unidos;Panamá;233750;KILOGRAMO;233750;KILOGRAMO;9350;BUL;334975;1.43;355762.18;1.52;16600;233750;233.75;236590;UNITCARGO CONTAINER LINE INC. C/O ITOCHU CHEMICALS;INEOS;POLIETILENO ALTA DENSIDAD, INEOS, TUB121N POLIETILENO ALTA DENSIDAD PE100 INEOS TUB121N USO INDUSTRIAL POLIETILENO;POLIETILENO ALTA DENSIDAD, INEOS, TUB121N POLIETILENO ALTA DENSIDAD PE100 INEOS TUB121N USO INDUSTRIAL POLIETILENO
118-229121;0001;23/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;29173200;MARITIMA DEL CALLAO;MARITIMO;AGENCIAS UNIVERSALES PERU;01495-15;NYKS2081972330;PUSAN;Coreia do Sul;Panamá;32000;KILOGRAMO;32000;KILOGRAMO;160;BUL;40800;1.28;45310;1.42;4000;32000;32;34670;EVERLITE KOREA CO. LTD.;AEKYUNG;DOP (DIOCTYLPHTHALATE), AEKYUNG, DOP DOP DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE;DOP (DIOCTYLPHTHALATE), AEKYUNG, DOP DOP DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE
