DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN Netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-018582;0001;13/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02753-19;SUDU29297AIZWRSP;CARTAGENA;México;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;41507.5;838.54;43263.19;874;1706;49500;49.5;50590;BRASKEM IDESA SAPI;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE
118-019698;0001;13/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00082-20;ANRM69SSZ121403X;SANTOS;Brasil;Uruguay;74.25;TM;74250;KILOGRAMO;0;No disponible;51976.64;700.02;57066.62;768.57;5025;74250;74.25;78170;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 2970 BAGS X 25 KGS HS5502 HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 2970 BAGS X 25 KGS HS5502 HIGH DENSITY POLYETHYLENE
118-023265;0001;15/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02753-19;SUDU29297AIZWRSP;CARTAGENA;México;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;41507.5;838.54;43263.19;874;1706;49500;49.5;50590;BRASKEM IDESA SAPI;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE
118-024992;0001;16/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01790-19;HLCUSS3190600552;SALVADOR;Brasil;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;48114.12;972;52229.6;1055.14;4056;49500;49.5;50940;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE
118-029952;0001;20/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00008-20;MAEUR01856655;JEDDAH;Arabia Saudi;Uruguay;24.75;TM;24750;KILOGRAMO;0;No disponible;19521.75;788.76;21216.75;857.24;1645;24750;24.75;25300;SABIC AMERICAS INC2500 CITY WEST BOULEVARDSUITE 65;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 990 BAGS X 25 KGS B5429 HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 990 BAGS X 25 KGS B5429 HIGH DENSITY POLYETHYLENE
118-030017;0001;20/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01790-19;HLCUSS3190600552;SALVADOR;Brasil;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;48114.12;972;52229.6;1055.14;4056;49500;49.5;50940;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 1980 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 1980 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE
118-036110;0001;23/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00061-20;HLCUSS5191250591;SANTOS;Brasil;Uruguay;74.25;TM;74250;KILOGRAMO;0;No disponible;71649.92;964.98;76816.44;1034.56;5079;74250;74.25;76010;BRASKEM S.A.;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M  LOTE: SPHAIK047E H603 POLYPROPYLENE HOMOPOLYMER 2970 BOLSAS X 25KG;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M  LOTE: SPHAIK047E H603 POLYPROPYLENE HOMOPOLYMER 2970 BOLSAS X 25KG
118-036142;0001;23/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00061-20;ANRM69ITJ065426X;RIO GRANDE;Brasil;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;47739.19;964.43;51197.54;1034.29;3400;49500;49.5;50490;BRASKEM S.A.;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M POLIPROPILENO HOMOPOLIMERO  H503 POLYPROPYLENE HOMOPOLYMER H503;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M POLIPROPILENO HOMOPOLIMERO  H503 POLYPROPYLENE HOMOPOLYMER H503
118-036158;0001;23/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00061-20;ANRM69ITJ064413X;RIO GRANDE;Brasil;Uruguay;74.25;TM;74250;KILOGRAMO;0;No disponible;55051.03;741.43;60219.51;811.04;5100;74250;74.25;75560;BRASKEM S.A.;BRASKEM;POLIETILENO LINEAL DE BAJA DENSIDAD. BRASKEM. S/M 2970 BAGS X 25 KGS  LL4405S  LINEAR LOW DENSITY WITH ADDITIVES;POLIETILENO LINEAL DE BAJA DENSIDAD. BRASKEM. S/M 2970 BAGS X 25 KGS  LL4405S  LINEAR LOW DENSITY WITH ADDITIVES
118-036187;0001;23/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00135-20;SUDU29297AL0LY47;BALBOA;México;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;44527;899.54;46286.17;935.07;1706;49500;49.5;50560;BRASKEM IDESA S.A.P.I.;BRASKEM;POLIETILENO DE BAJA DENSIDAD, BRASKEM, S/M 1980 BAGS X 25 KGS BATCH: VZB6IK033E LDF2723S1 LOW DENSITY POLYETHYLENE;POLIETILENO DE BAJA DENSIDAD, BRASKEM, S/M 1980 BAGS X 25 KGS BATCH: VZB6IK033E LDF2723S1 LOW DENSITY POLYETHYLENE
