DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-119963;0001;06/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00746-11;MSCUHT667790;HOUSTON;Estados Unidos;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;26090.55;1.49;27699.77;1.58;1559.45;17500;17.5;17590;EQUISTAR CHEMICALS LP 1221 MCKINNEY;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-132880;0001;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00745-11;MSCUHT674036;HOUSTON;Chile;Chile;52500;KILOGRAMO;52500;KILOGRAMO;2100;SAC;78247.65;1.49;83010.75;1.58;4705.03;52500;52.5;52680;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-132880;0002;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00745-11;MSCUHT675603;HOUSTON;Chile;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;26082.55;1.49;27669.81;1.58;1567.9;17500;17.5;17560;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-132880;0003;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00745-11;MSCUHT673830;HOUSTON;Chile;Chile;17500;KILOGRAMO;17460;KILOGRAMO;700;SAC;25032.54;1.43;26612.8;1.52;1561.64;17460;17.46;17460;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-132880;0004;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00745-11;MSCUHT669408;HOUSTON;Chile;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;50065.1;1.43;53237.24;1.52;3134.9;35000;35;35100;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-132891;0001;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;20587-11;SUDU210015119230;CARTAGENA;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;36607.11;1.48;39132.48;1.58;2498;24750;24.75;26040;INEOS OLEFINS & POLYMERS USA;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, PE- K44-15-122;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, PE- K44-15-122
118-133077;0001;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00824-11;MSCUHT673830;HOUSTON;Chile;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;25032.54;1.43;26624.42;1.52;1573.26;17500;17.5;17590;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,8005M3, T30248, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-133077;0002;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00824-11;MSCUHT675603;HOUSTON;Chile;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;26082.55;1.49;27668.91;1.58;1567;17500;17.5;17550;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-133077;0003;15/04/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00824-11;MSCUHT674036;HOUSTON;Chile;Chile;17500;KILOGRAMO;17500;KILOGRAMO;700;SAC;26082.55;1.49;27666.68;1.58;1564.77;17500;17.5;17520;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
118-153039;0001;03/05/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00841-11;MSCUHT687921;HOUSTON;Estados Unidos;Chile;35000;KILOGRAMO;35000;KILOGRAMO;1400;SAC;52690.1;1.51;55864.08;1.6;3134.9;35000;35;35160;DISTRIBUIDORA PORTLAND SA;ALATHON;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL;POLIETILENO DE ALTA DENSIDAD,ALATHON,L5008 K, T30309, POLIET AD 700 SACOS X 25 KG NET/SAC POLIMEROS DE ETILENO EN FORMAS PRIMARIAS. USO INDUSTRIAL
